English	Hebrew	Count	
HaKtav VeHaKabbalah, Frankfurt 1880		1	
Kol Bo 1547 Venice Unknown Publisher		1	
Shivchei HaBesht, first edition, Kapust 1815		1	
Moed Katan 21b		1	
Tosefta Keilim Batra - Machon Mamre		1	
Jewish English Torah		1	
Onkelos Deuteronomy		1	
Hamisha Shitot, Sulzbach 1761.		1	
Keter Shem Tov, Zalkevo 1794-5		1	
McCaul Translation		1	
Malbim Beur Hamilot on Zephaniah--Wikisource		1	
Hebrew books		1	
Sefer HaChinukh -- Torat Emet		1	
Commentarie de Maimonide sur la Mischnah Seder Tohorot, Berlin 1889		1	
Chabad translation		1	
R' Zadok -- Takanat HaShavin		1	
Kobetz Teshuvot HaRambam, 1859		1	
Ein HaTekhelet, B'nei Brak, 1999		1	
According to the NLI Piyyut database		1	
Shmonah Kevatzim -- Wikisource		1	
Soncino Talmud		1	
Tosefta Nedarim - Machon Mamre		1	
Likutei Halachot: Choshen Mishpat 1		1	
Ibn Ezra on Micah -- Daat		1	
Moreh Nevuchim, translated by Ibn Tibon		1	
Birkat Hamazon -- Sefard		1	
Siddur on the Hill		1	
Teshuvot HaRashbash, Livorno, 1742		1	
Tosefta Kidushin - Machon Mamre		1	
Tosefta Temurah - Machon Mamre		1	
Tosefta Bikkurim		1	
Wikisource English Shulchan Aruch		1	
Pirkei Derabi Eliezer		1	
Likutei Halachot: Orach Chaim 1		1	
Likutei Halachot: Orach Chaim 2		1	
Leipzig, 1830, Wikisource		1	
Likutei Moharan -- Wikisource		1	
Darchei HaTalmud -- Wikisource		1	
Mishnah with 73 commentaries		1	
Redeeming Relevance		1	
Suomi Käännös By Ezra Lindholm [fi]		1	
Yad Ramah on Bava Batra		1	
רש״י על יונה ב׳:ג׳		1	
The Best Guarantors		1	
Tanna deBei Eliyahu Zuta		1	
Tosefta Parah - Machon Mamre		1	
Be'er Mayim Chaim, Jerusalem 1991.		1	
Even HaEzer, Vilna, 1923		1	
Malbim on Zephaniah--Wikisource		1	
Version of the Rashash		1	
Vienna, 1859		1	
Tzava'at Harivash		1	
Be'ur Eser S'firot - grimoar		1	
Wikisource Ktav Yad Rashi		1	
Abudarham; MS, The British Library London England Or. 10727		1	
Warsaw 1913		1	
Rav Kook Digitized Texts		1	
The Apocrypha Ed. Abraham Kahana		1	
Book of Jubilees, Vienna 1870, Wikisource		1	
Ha'amek Davar		1	
WikiSource Tosafot		1	
Likutei Moharan - rabenubook.com		1	
Just a translation of the Palestinian Talmud Quoted		1	
The Legends of the Jews by Louis Ginzberg [1909]		1	
Yad-Hachazakah,  edited by Elias Soloweyczik; London, 1863		1	
Vilna Edition		1	
Tosefta Mikvaot - Machon Mamre		1	
Daf Shevuii		1	
wikitext		1	
English Translation by Jay Treat		1	
Chofetz Chaim, Silverstein translation		1	
Midrash Tanhuma, S. Buber Recension; trans. by John T. Townsend, 1989.		1	
Tosefta Challah		1	
Tosefta Yadayim -  Machon Mamre		1	
Iggerot Tzfun, Vilna 1890		1	
מדרש משלי - שלמה באבער		1	
דפוס לבוב תקנט		1	
Shney Luchot Habrit by Rabbi Eliyahu Munk		1	
Malbim on Song of Songs -- Wikisource		1	
The Letter of Aristeas -- wikisource		1	
RCA Ketubah Text		1	
Melamed LeHoil Part I, Frankfurt, 1926		1	
Malbim Beur Hamilot on Obadiah- Wikisource		1	
Shnei Luchot Habrit		1	
R. David Kimhi on the first book of Psalms, Translated by R.G. Finch, London, 1919		1	
Chicago, 1879		1	
Yakar MiPaz, 1912.		1	
Iggerot Moshe, New York, 1985		1	
Likut Sifrei Stam Part 1		1	
Maggid Meisharim - Torat Emet		1	
Sociedade Biblica Britânica - Pt		1	
Numbers 29:1 Ibn Ezra		1	
Babylonian Talmud: Tractate Yebamoth		1	
The Tosefta Blog		1	
Likutei Moharan Tinyana - rabenubook.com		1	
R' Zadok -- Sichat Malachei HaSharet		1	
Four commentaries on Rashi. Warsaw, 1862		1	
The Sabbath epistle of Ibn Ezra, KTAV Publishing House, 2009		1	
Sefer ha-Bahur, Prague, 1789.		1	
Chofetz Chaim		1	
Malbim on II Chronicles -- Wikisource		1	
Rabbi Moses Hyamson		1	
Tosefta Horayot - Machon Mamre		1	
Tosefta Niddah - Machon Mamre		1	
Green, 1897		1	
Ibn Ezra on Joel -- Daat		1	
Targum Jonathan on Deuteronomy		1	
Tosefta Shabbat		1	
R' Zadok -- Ohr Zarua LaTzadik		1	
Yona Newman Translation		1	
The Rebellious Son – Sanhedrin 68b by Rabbi Mordechai Silverstein		1	
Mahari Weil, Jerusalem, 1959		1	
Seder HaChachamim. Oxford, 1888		1	
Section on Charity, trans. Louis Feinberg; N.Y. School of Philanthropy, 1915		1	
Daat Devarim Rabbah		1	
Teshuvot HaGeonim, Coronel 1871		1	
Tsel Midrash Tanchuma		1	
R' Zadok -- Machshavot Charutz		1	
Daat Bereshit Rabbah		1	
Harav Kook- leNevuchai Hazeman		1	
Midrash Shmuel, Warsaw, 1876		1	
Ha-Siddur Ha-Shalem (1949)		1	
Daat Shemot Rabbah		1	
Tosefta Megillah - Machon Mamre		1	
Akeydat Yitzchak by Eliyahu Munk		1	
Daat Siddur Ashkenaz		1	
Tosefta Sukkah		1	
Tosefta Makkot - Machon Mamre		1	
Bekhor Shor, Breslau, 1900		1	
Mateh Levi, Frankfurt, 1891		1	
Yad Ramah Sanhedrin, Warsaw 1895 ed.		1	
Teshuvot HaGeonim, Nathan Coronel, 1871		1	
Shoel Umeshiv I, Lviv, 1865		1	
Tosefta Maaser Sheini		1	
