Word Form,Is In Existing Lexicon,Locations found in texts
maaser sheni,False,Mishnah Bava Metzia 4:6;Mishnah Bava Metzia 4:8;Mishnah Peah 5:4;Mishnah Peah 5:5;Mishnah Peah 5:5;Mishnah Shekalim 2:2;Mishnah Pesachim 2:5;Mishnah Pesachim 2:5;Mishnah Pesachim 2:6;Mishnah Shabbat 18:1;Mishnah Shabbat 18:1;Mishnah Eruvin 3:1;Mishnah Eruvin 3:2;Mishnah Eruvin 3:2;Mishnah Chullin 1:7;Mishnah Chullin 1:7;Mishnah Demai 5:1;Mishnah Demai 5:2;Mishnah Demai 6:4;Mishnah Demai 7:1;Mishnah Demai 7:2;Mishnah Demai 7:3;Mishnah Demai 7:4;Mishnah Demai 7:5;Mishnah Demai 7:5;Mishnah Pesachim 7:3;Mishnah Pesachim 7:3;Mishnah Sukkah 3:5;Mishnah Yadayim 4:3;Mishnah Sheviit 8:2;Mishnah Menachot 7:5;Mishnah Menachot 7:5;Mishnah Sanhedrin 8:2;Mishnah Sanhedrin 8:2;Mishnah Sanhedrin 10:6;Mishnah Maaser Sheni 1:1;Mishnah Maaser Sheni 1:2;Mishnah Maaser Sheni 1:7;Mishnah Maaser Sheni 1:7;Mishnah Maaser Sheni 1:7;Mishnah Maaser Sheni 1:7;Mishnah Maaser Sheni 1:7;Mishnah Maaser Sheni 1:7;Mishnah Maaser Sheni 2:1;Mishnah Maaser Sheni 2:1;Mishnah Maaser Sheni 2:1;Mishnah Maaser Sheni 2:1;Mishnah Maaser Sheni 2:1;Mishnah Maaser Sheni 2:1;Mishnah Maaser Sheni 2:1;Mishnah Maaser Sheni 2:2;Mishnah Maaser Sheni 2:2;Mishnah Maaser Sheni 2:2;Mishnah Maaser Sheni 2:3;Mishnah Maaser Sheni 2:4;Mishnah Maaser Sheni 2:5;Mishnah Maaser Sheni 2:5;Mishnah Maaser Sheni 2:5;Mishnah Maaser Sheni 2:5;Mishnah Maaser Sheni 2:6;Mishnah Maaser Sheni 2:7;Mishnah Maaser Sheni 2:8;Mishnah Maaser Sheni 2:9;Mishnah Maaser Sheni 3:2;Mishnah Maaser Sheni 3:3;Mishnah Maaser Sheni 3:4;Mishnah Maaser Sheni 3:5;Mishnah Maaser Sheni 3:5;Mishnah Maaser Sheni 3:6;Mishnah Maaser Sheni 3:6;Mishnah Maaser Sheni 3:6;Mishnah Maaser Sheni 3:6;Mishnah Maaser Sheni 3:9;Mishnah Maaser Sheni 3:10;Mishnah Maaser Sheni 3:10;Mishnah Maaser Sheni 3:10;Mishnah Maaser Sheni 3:10;Mishnah Maaser Sheni 3:10;Mishnah Maaser Sheni 3:12;Mishnah Maaser Sheni 3:13;Mishnah Maaser Sheni 3:13;Mishnah Maaser Sheni 4:1;Mishnah Maaser Sheni 4:1;Mishnah Maaser Sheni 4:2;Mishnah Maaser Sheni 4:2;Mishnah Maaser Sheni 4:3;Mishnah Maaser Sheni 4:3;Mishnah Maaser Sheni 4:4;Mishnah Maaser Sheni 4:4;Mishnah Maaser Sheni 4:6;Mishnah Maaser Sheni 4:6;Mishnah Maaser Sheni 4:7;Mishnah Maaser Sheni 4:8;Mishnah Maaser Sheni 4:8;Mishnah Maaser Sheni 4:8;Mishnah Maaser Sheni 4:8;Mishnah Maaser Sheni 4:8;Mishnah Maaser Sheni 4:8;Mishnah Maaser Sheni 4:8;Mishnah Maaser Sheni 4:8;Mishnah Maaser Sheni 4:12;Mishnah Maaser Sheni 4:12;Mishnah Maaser Sheni 5:6;Mishnah Maaser Sheni 5:10;Mishnah Maaser Sheni 5:11;Mishnah Terumot 1:5;Mishnah Terumot 3:6;Mishnah Terumot 3:7;Mishnah Terumot 6:5;Mishnah Terumot 8:2;Mishnah Terumot 9:4;Mishnah Terumot 10:5;Mishnah Terumot 11:3;Mishnah Challah 1:3;Mishnah Challah 3:9;Mishnah Zevachim 14:6;Mishnah Zevachim 14:8;Mishnah Terumot 5:1;Mishnah Terumot 5:1
maaserot,False,Mishnah Challah 1:2;Mishnah Challah 1:3;Mishnah Challah 1:4;Mishnah Challah 2:2;Mishnah Challah 3:4;Mishnah Challah 3:4;Mishnah Challah 3:4;Mishnah Challah 3:4;Mishnah Challah 3:4;Mishnah Challah 3:9;Mishnah Challah 4:7
maasrot,False,Mishnah Demai 5:10;Mishnah Demai 5:11
machol,False,Mishnah Kilayim 7:3;Mishnah Kilayim 4:1;Mishnah Kilayim 4:2;Mishnah Kilayim 4:3;Mishnah Kilayim 4:3
madaf,False,Mishnah Tahorot 8:2;Mishnah Parah 10:1;Mishnah Parah 10:1;Mishnah Parah 10:1;Mishnah Parah 10:1;Mishnah Parah 10:1;Mishnah Parah 10:1;Mishnah Parah 10:2;Mishnah Parah 10:2;Mishnah Zavim 5:2;Mishnah Zavim 5:2
magraifa,False,Mishnah Tamid 5:6;Mishnah Tamid 5:6;Mishnah Tamid 3:8
makhol,False,Mishnah Kelim 13:2
malkhiot,False,Mishnah Rosh Hashanah 4:5;Mishnah Rosh Hashanah 4:5;Mishnah Rosh Hashanah 4:5;Mishnah Rosh Hashanah 4:6
malkhut,False,Mishnah Rosh Hashanah 4:6
mamzer,True,
mamzeret,True,
mamzerim,False,Mishnah Kiddushin 3:13;Mishnah Kiddushin 4:1;Mishnah Kiddushin 4:1;Mishnah Yevamot 10:3;Mishnah Yevamot 10:3;Mishnah Yevamot 8:3
maneh,True,
marit haayin,False,Mishnah Sheviit 3:4
mashiach,False,Mishnah Berakhot 1:5
mashiv haruach,False,Mishnah Berakhot 5:2
matir,True,
matirim,True,
matsah,False,Mishnah Challah 1:2;Mishnah Challah 1:8;Mishnah Challah 3:7
mavoy,False,Mishnah Eruvin 1:1;Mishnah Eruvin 1:1;Mishnah Eruvin 1:1;Mishnah Eruvin 1:2;Mishnah Eruvin 1:2;Mishnah Eruvin 1:2;Mishnah Eruvin 6:2;Mishnah Eruvin 6:2;Mishnah Eruvin 6:2;Mishnah Eruvin 6:5;Mishnah Eruvin 6:5;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 6:8;Mishnah Eruvin 7:6;Mishnah Eruvin 7:6;Mishnah Eruvin 9:3;Mishnah Eruvin 9:4
meah,False,Mishnah Shekalim 1:7;Mishnah Shekalim 1:7
mechitza,False,Mishnah Eruvin 1:10;Mishnah Eruvin 1:10;Mishnah Eruvin 2:4;Mishnah Eruvin 8:6;Mishnah Eruvin 8:6;Mishnah Eruvin 8:6;Mishnah Eruvin 8:7;Mishnah Eruvin 8:7;Mishnah Eruvin 8:8;Mishnah Eruvin 8:8;Mishnah Eruvin 10:9
mechusar kapparah,False,Mishnah Keritot 2:1
mechusar kippurim,True,
mediach,False,Mishnah Sanhedrin 7:4;Mishnah Sanhedrin 7:10
medras,False,Mishnah Zavim 3:1;Mishnah Zavim 4:1;Mishnah Zavim 4:1
meduma,False,Mishnah Temurah 1:4;Mishnah Temurah 1:4;Mishnah Challah 3:2;Mishnah Challah 3:2
medumah,False,Mishnah Challah 1:4;Mishnah Orlah 2:4;Mishnah Orlah 2:6;Mishnah Orlah 2:7
megillah,False,Mishnah Megillah 1:1;Mishnah Megillah 1:4;Mishnah Megillah 1:4
meilah,False,Mishnah Avodah Zarah 2:5;Mishnah Yoma 5:6;Mishnah Chullin 8:6;Mishnah Temurah 4:1;Mishnah Temurah 4:1;Mishnah Keritot 3:9;Mishnah Keritot 3:9;Mishnah Keritot 3:9;Mishnah Keritot 3:9;Mishnah Keritot 5:2;Mishnah Keritot 5:2;Mishnah Keritot 5:2;Mishnah Keritot 5:2;Mishnah Keritot 5:3;Mishnah Keritot 5:3;Mishnah Keritot 5:3;Mishnah Keritot 5:3;Mishnah Keritot 6:6;Mishnah Keritot 6:6;Mishnah Beitzah 5:5;Mishnah Beitzah 5:5;Mishnah Meilah 1:1;Mishnah Meilah 1:1;Mishnah Meilah 1:1;Mishnah Meilah 1:1;Mishnah Meilah 1:2;Mishnah Meilah 1:2;Mishnah Meilah 1:2;Mishnah Meilah 1:2;Mishnah Meilah 1:2;Mishnah Meilah 1:3;Mishnah Meilah 1:3;Mishnah Meilah 1:4;Mishnah Meilah 1:4;Mishnah Meilah 1:4;Mishnah Meilah 1:4;Mishnah Meilah 1:4;Mishnah Meilah 1:4;Mishnah Meilah 2:1;Mishnah Meilah 2:1;Mishnah Meilah 2:2;Mishnah Meilah 2:2;Mishnah Meilah 2:3;Mishnah Meilah 2:3;Mishnah Meilah 2:4;Mishnah Meilah 2:4;Mishnah Meilah 2:5;Mishnah Meilah 2:6;Mishnah Meilah 2:7;Mishnah Meilah 2:7;Mishnah Meilah 2:8;Mishnah Meilah 2:8;Mishnah Meilah 2:8;Mishnah Meilah 2:9;Mishnah Meilah 3:1;Mishnah Meilah 3:1;Mishnah Meilah 3:2;Mishnah Meilah 3:2;Mishnah Meilah 3:2;Mishnah Meilah 3:3;Mishnah Meilah 3:3;Mishnah Meilah 3:3;Mishnah Meilah 3:3;Mishnah Meilah 3:4;Mishnah Meilah 3:4;Mishnah Meilah 3:4;Mishnah Meilah 3:4;Mishnah Meilah 3:4;Mishnah Meilah 3:5;Mishnah Meilah 3:5;Mishnah Meilah 3:6;Mishnah Meilah 3:6;Mishnah Meilah 3:6;Mishnah Meilah 3:6;Mishnah Meilah 3:7;Mishnah Meilah 3:7;Mishnah Meilah 3:7;Mishnah Meilah 3:7;Mishnah Meilah 3:7;Mishnah Meilah 3:8;Mishnah Meilah 3:8;Mishnah Meilah 3:8;Mishnah Meilah 4:1;Mishnah Meilah 4:1;Mishnah Meilah 5:1;Mishnah Meilah 5:1;Mishnah Meilah 5:1;Mishnah Meilah 5:1;Mishnah Meilah 5:1;Mishnah Meilah 5:1;Mishnah Meilah 5:1;Mishnah Meilah 5:2;Mishnah Meilah 5:3;Mishnah Meilah 5:3;Mishnah Meilah 5:3;Mishnah Meilah 5:3;Mishnah Meilah 5:3;Mishnah Meilah 5:3;Mishnah Meilah 5:3;Mishnah Meilah 5:3;Mishnah Meilah 5:3;Mishnah Meilah 5:4;Mishnah Meilah 5:4;Mishnah Meilah 5:4;Mishnah Meilah 5:4;Mishnah Meilah 5:4;Mishnah Meilah 5:4;Mishnah Meilah 5:4;Mishnah Meilah 5:4;Mishnah Meilah 6:1;Mishnah Meilah 6:1;Mishnah Meilah 6:1;Mishnah Meilah 6:1;Mishnah Meilah 6:1;Mishnah Meilah 6:1;Mishnah Meilah 6:2;Mishnah Meilah 6:2;Mishnah Meilah 6:2;Mishnah Meilah 6:2;Mishnah Meilah 6:3;Mishnah Meilah 6:3;Mishnah Meilah 6:4;Mishnah Meilah 6:4;Mishnah Meilah 6:4;Mishnah Meilah 6:4;Mishnah Meilah 6:5;Mishnah Meilah 6:5;Mishnah Meilah 6:5;Mishnah Meilah 6:6;Mishnah Meilah 6:6;Mishnah Meilah 6:6;Mishnah Zevachim 7:3;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 7:4;Mishnah Zevachim 9:6;Mishnah Zevachim 9:6;Mishnah Parah 4:4
melacha,False,Mishnah Pesachim 6:2;Mishnah Pesachim 6:2;Mishnah Pesachim 6:2;Mishnah Pesachim 6:2;Mishnah Pesachim 6:2
melakha,False,Mishnah Shabbat 7:1;Mishnah Shabbat 7:1;Mishnah Shabbat 10:2;Mishnah Shabbat 12:1;Mishnah Shabbat 12:1;Mishnah Shabbat 19:1;Mishnah Keritot 1:1;Mishnah Keritot 3:10;Mishnah Keritot 4:1;Mishnah Keritot 4:2;Mishnah Keritot 4:2;Mishnah Keritot 4:2;Mishnah Keritot 4:2;Mishnah Keritot 4:2;Mishnah Keritot 4:2
melakhot,False,Mishnah Shabbat 7:1;Mishnah Shabbat 7:1;Mishnah Shabbat 7:1;Mishnah Shabbat 7:1;Mishnah Shabbat 7:2;Mishnah Shabbat 7:2;Mishnah Shabbat 7:2
melika,True,
melikah,True,
melikot,False,Mishnah Kiddushin 1:8
mem,False,Mishnah Maaser Sheni 4:11
menachot,False,Mishnah Zevachim 6:1;Mishnah Zevachim 6:2;Mishnah Zevachim 10:4
menora,True,
menorah,True,
meod,False,Mishnah Berakhot 9:5
meodekha,False,Mishnah Berakhot 9:5
merkulis,False,Mishnah Sanhedrin 7:6
meroach ashech,False,Mishnah Bekhorot 7:5
mesibah,False,Mishnah Middot 4:3
mesit,False,Mishnah Sanhedrin 7:4;Mishnah Sanhedrin 7:10;Mishnah Sanhedrin 7:10;Mishnah Sanhedrin 7:10;Mishnah Sanhedrin 7:10;Mishnah Sanhedrin 7:10;Mishnah Sanhedrin 7:10
metzora,True,
metzorah,True,
metzoraim,True,
mezuzah,False,Mishnah Berakhot 3:3;Mishnah Menachot 3:7
mezuzot,False,Mishnah Megillah 1:8;Mishnah Megillah 1:8;Mishnah Moed Katan 3:4;Mishnah Moed Katan 3:4
midaf,False,Mishnah Zavim 4:6
midah,False,Mishnah Berakhot 9:5
midbarit,False,Mishnah Kelim 17:8
midras,True,
mikva,False,Mishnah Tevul Yom 1:1;Mishnah Zavim 5:12
mikvah,False,Mishnah Makhshirin 4:8;Mishnah Tahorot 4:7;Mishnah Tahorot 4:7;Mishnah Tahorot 8:9;Mishnah Tahorot 10:3;Mishnah Mikvaot 6:3;Mishnah Mikvaot 6:3;Mishnah Mikvaot 6:4;Mishnah Beitzah 2:3;Mishnah Meilah 2:1;Mishnah Terumot 5:6;Mishnah Parah 8:8;Mishnah Parah 8:8
mikvaot,False,Mishnah Shekalim 1:1;Mishnah Moed Katan 1:2;Mishnah Mikvaot 1:1;Mishnah Mikvaot 1:4;Mishnah Mikvaot 1:6;Mishnah Mikvaot 1:6;Mishnah Mikvaot 1:7;Mishnah Mikvaot 1:7;Mishnah Mikvaot 1:7;Mishnah Mikvaot 1:7;Mishnah Mikvaot 1:8;Mishnah Mikvaot 1:8;Mishnah Mikvaot 2:1;Mishnah Mikvaot 2:2;Mishnah Mikvaot 2:3;Mishnah Mikvaot 2:3;Mishnah Mikvaot 3:1;Mishnah Mikvaot 3:1;Mishnah Mikvaot 6:3;Mishnah Mikvaot 6:3;Mishnah Mikvaot 6:3;Mishnah Mikvaot 6:3;Mishnah Mikvaot 6:7;Mishnah Mikvaot 6:7;Mishnah Mikvaot 6:8;Mishnah Mikvaot 6:9;Mishnah Mikvaot 8:1;Mishnah Mikvaot 8:1
mikveh,False,Mishnah Shabbat 2:7;Mishnah Shabbat 2:7;Mishnah Chullin 1:7;Mishnah Chullin 1:7;Mishnah Makhshirin 4:6;Mishnah Makhshirin 4:8;Mishnah Temurah 1:4;Mishnah Mikvaot 1:7;Mishnah Mikvaot 1:7;Mishnah Mikvaot 2:1;Mishnah Mikvaot 2:2;Mishnah Mikvaot 2:3;Mishnah Mikvaot 2:3;Mishnah Mikvaot 2:4;Mishnah Mikvaot 2:4;Mishnah Mikvaot 2:4;Mishnah Mikvaot 2:5;Mishnah Mikvaot 2:5;Mishnah Mikvaot 2:5;Mishnah Mikvaot 2:6;Mishnah Mikvaot 2:6;Mishnah Mikvaot 2:7;Mishnah Mikvaot 2:7;Mishnah Mikvaot 2:8;Mishnah Mikvaot 2:9;Mishnah Mikvaot 2:10;Mishnah Mikvaot 3:1;Mishnah Mikvaot 3:1;Mishnah Mikvaot 3:1;Mishnah Mikvaot 3:2;Mishnah Mikvaot 3:2;Mishnah Mikvaot 3:3;Mishnah Mikvaot 3:3;Mishnah Mikvaot 3:4;Mishnah Mikvaot 3:4;Mishnah Mikvaot 3:4;Mishnah Mikvaot 3:4;Mishnah Mikvaot 3:4;Mishnah Mikvaot 3:4;Mishnah Mikvaot 4:1;Mishnah Mikvaot 4:1;Mishnah Mikvaot 4:1;Mishnah Mikvaot 4:1;Mishnah Mikvaot 4:2;Mishnah Mikvaot 4:2;Mishnah Mikvaot 4:2;Mishnah Mikvaot 4:3;Mishnah Mikvaot 4:3;Mishnah Mikvaot 4:4;Mishnah Mikvaot 4:4;Mishnah Mikvaot 4:4;Mishnah Mikvaot 4:4;Mishnah Mikvaot 4:5;Mishnah Mikvaot 4:5;Mishnah Mikvaot 4:5;Mishnah Mikvaot 4:5;Mishnah Mikvaot 4:5;Mishnah Mikvaot 5:1;Mishnah Mikvaot 5:1;Mishnah Mikvaot 5:2;Mishnah Mikvaot 5:3;Mishnah Mikvaot 5:4;Mishnah Mikvaot 5:4;Mishnah Mikvaot 5:4;Mishnah Mikvaot 5:5;Mishnah Mikvaot 5:5;Mishnah Mikvaot 5:6;Mishnah Mikvaot 6:1;Mishnah Mikvaot 6:1;Mishnah Mikvaot 6:1;Mishnah Mikvaot 6:1;Mishnah Mikvaot 6:1;Mishnah Mikvaot 6:1;Mishnah Mikvaot 6:2;Mishnah Mikvaot 6:4;Mishnah Mikvaot 6:4;Mishnah Mikvaot 6:5;Mishnah Mikvaot 6:5;Mishnah Mikvaot 6:5;Mishnah Mikvaot 6:6;Mishnah Mikvaot 6:7;Mishnah Mikvaot 6:8;Mishnah Mikvaot 6:8;Mishnah Mikvaot 6:8;Mishnah Mikvaot 6:8;Mishnah Mikvaot 6:10;Mishnah Mikvaot 6:10;Mishnah Mikvaot 6:10;Mishnah Mikvaot 6:10;Mishnah Mikvaot 6:11;Mishnah Mikvaot 7:1;Mishnah Mikvaot 7:1;Mishnah Mikvaot 7:1;Mishnah Mikvaot 7:1;Mishnah Mikvaot 7:1;Mishnah Mikvaot 7:2;Mishnah Mikvaot 7:2;Mishnah Mikvaot 7:2;Mishnah Mikvaot 7:2;Mishnah Mikvaot 7:2;Mishnah Mikvaot 7:3;Mishnah Mikvaot 7:4;Mishnah Mikvaot 7:5;Mishnah Mikvaot 7:5;Mishnah Mikvaot 7:6;Mishnah Mikvaot 7:7;Mishnah Mikvaot 7:7;Mishnah Mikvaot 7:7;Mishnah Mikvaot 7:7;Mishnah Mikvaot 7:7;Mishnah Mikvaot 8:1;Mishnah Mikvaot 9:1;Mishnah Mikvaot 10:7;Mishnah Mikvaot 10:7;Mishnah Mikvaot 10:7;Mishnah Niddah 5:1
mil,False,Mishnah Yoma 6:4;Mishnah Yoma 6:4;Mishnah Yoma 6:8;Mishnah Yoma 6:8;Mishnah Yoma 6:8
milin,False,Mishnah Yoma 6:4;Mishnah Yoma 6:8
mina,False,Mishnah Eduyot 3:3
mincha,False,Mishnah Berakhot 4:1;Mishnah Shabbat 1:2;Mishnah Meilah 2:8
minchah,False,Mishnah Shekalim 2:5;Mishnah Shekalim 2:5;Mishnah Sukkah 4:8;Mishnah Nedarim 1:4
minyan,False,Mishnah Berakhot 4:7;Mishnah Berakhot 4:7;Mishnah Berakhot 4:7;Mishnah Berakhot 4:7
mishkan,False,Mishnah Zevachim 14:2;Mishnah Zevachim 14:2;Mishnah Zevachim 14:4;Mishnah Zevachim 14:4;Mishnah Zevachim 14:4;Mishnah Zevachim 14:6;Mishnah Zevachim 14:9;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10;Mishnah Zevachim 14:10
mishnah,False,Mishnah Keritot 1:2
mitsvah,False,Mishnah Shevuot 3:6;Mishnah Shevuot 3:6
mitzvah,False,Mishnah Yevamot 2:8;Mishnah Yevamot 5:2;Mishnah Yevamot 12:1;Mishnah Yevamot 12:6;Mishnah Yevamot 12:6;Mishnah Yevamot 12:6;Mishnah Yevamot 12:6;Mishnah Nedarim 2:2;Mishnah Sanhedrin 8:2;Mishnah Shevuot 3:6;Mishnah Shevuot 3:8
miun,False,Mishnah Sanhedrin 1:3;Mishnah Chullin 1:7;Mishnah Chullin 1:7;Mishnah Moed Katan 3:3
miyyun,False,Mishnah Niddah 6:11;Mishnah Niddah 6:11
mizbeach,False,Mishnah Shekalim 4:7;Mishnah Shekalim 4:8;Mishnah Shekalim 4:9
moded,False,Mishnah Berakhot 9:5
modeh,False,Mishnah Berakhot 9:5
modim,False,Mishnah Berakhot 5:2
moed,False,Mishnah Moed Katan 1:1;Mishnah Moed Katan 1:2;Mishnah Moed Katan 1:2;Mishnah Moed Katan 1:3;Mishnah Moed Katan 1:3;Mishnah Moed Katan 1:4;Mishnah Moed Katan 1:4;Mishnah Moed Katan 1:5;Mishnah Moed Katan 1:5;Mishnah Moed Katan 1:6;Mishnah Moed Katan 1:6;Mishnah Moed Katan 1:6;Mishnah Moed Katan 1:7;Mishnah Moed Katan 1:8;Mishnah Moed Katan 1:9;Mishnah Moed Katan 1:10;Mishnah Moed Katan 1:10;Mishnah Moed Katan 1:10
molech,False,Mishnah Sanhedrin 7:4;Mishnah Sanhedrin 7:7;Mishnah Sanhedrin 7:7;Mishnah Sanhedrin 7:7;Mishnah Sanhedrin 7:7
molekh,False,Mishnah Keritot 1:1
moreh,False,Mishnah Nazir 9:5;Mishnah Nazir 9:5;Mishnah Nazir 9:5;Mishnah Nazir 9:5;Mishnah Nazir 9:5;Mishnah Nazir 9:5;Mishnah Nazir 9:5
motzi shem ra,True,
mukat ets,False,Mishnah Ketubot 1:3;Mishnah Ketubot 1:3;Mishnah Ketubot 1:7
mukdashim,False,Mishnah Chullin 2:7;Mishnah Chullin 4:7;Mishnah Chullin 5:1;Mishnah Chullin 6:1;Mishnah Chullin 7:1;Mishnah Chullin 9:5;Mishnah Chullin 10:1;Mishnah Chullin 11:1;Mishnah Chullin 12:1
mulyar,False,Mishnah Shabbat 3:4
musaf,True,
musafim,True,
naara,False,Mishnah Ketubot 4:3
naarah,False,Mishnah Ketubot 3:3;Mishnah Ketubot 3:9;Mishnah Ketubot 4:1;Mishnah Ketubot 4:1
naarot,False,Mishnah Ketubot 3:1
nachor,False,Mishnah Shabbat 12:3
nadar bemotah,False,Mishnah Nedarim 1:2
nafuz,False,Mishnah Kilayim 1:5
naluz,False,Mishnah Kilayim 9:8
nasi,False,Mishnah Chagigah 2:2;Mishnah Nedarim 5:5;Mishnah Nedarim 5:5;Mishnah Nedarim 5:5;Mishnah Nedarim 5:5;Mishnah Nedarim 5:5;Mishnah Nedarim 5:5
natin,False,Mishnah Horayot 3:8;Mishnah Horayot 3:8;Mishnah Sotah 8:3;Mishnah Sotah 8:5;Mishnah Makkot 3:1
nazik,False,Mishnah Nedarim 1:2
nazir,True,
nazirim,False,Mishnah Middot 2:5;Mishnah Middot 2:5
naziyach,False,Mishnah Nedarim 1:2
nega,True,
negaim,True,
nesech,False,Mishnah Avodah Zarah 5:1;Mishnah Avodah Zarah 5:1;Mishnah Avodah Zarah 5:1;Mishnah Avodah Zarah 5:1;Mishnah Avodah Zarah 5:2;Mishnah Avodah Zarah 5:2;Mishnah Avodah Zarah 5:7;Mishnah Avodah Zarah 5:7;Mishnah Avodah Zarah 5:8;Mishnah Avodah Zarah 5:9;Mishnah Avodah Zarah 5:10;Mishnah Avodah Zarah 5:10
neta,True,
neta reva,False,Mishnah Maaser Sheni 5:10
neta revai,False,Mishnah Maaser Sheni 5:4;Mishnah Maaser Sheni 5:5
netakim,True,
netek,True,
netin,True,
netina,True,
netinah,True,
netinim,False,Mishnah Kiddushin 4:1;Mishnah Kiddushin 4:1
netinin,False,Mishnah Yevamot 8:3
netz hechalav,False,Mishnah Sheviit 7:1;Mishnah Sheviit 7:2;Mishnah Sheviit 8:3
nevailah,False,Mishnah Makkot 3:2
neveilah,True,
neveilot,True,
nevelah,True,
neveliot,False,Mishnah Shevuot 3:4;Mishnah Shevuot 3:4
nevelot,True,
nezirim,False,Mishnah Nazir 4:1;Mishnah Nazir 4:7;Mishnah Nazir 5:4;Mishnah Nazir 5:5;Mishnah Nazir 5:5;Mishnah Nazir 5:5;Mishnah Nazir 5:7;Mishnah Nazir 5:7;Mishnah Nazir 8:1
nezirut,False,Mishnah Nazir 1:1;Mishnah Nazir 1:1;Mishnah Nazir 1:2;Mishnah Nazir 1:3;Mishnah Nazir 1:4;Mishnah Nazir 1:7;Mishnah Nazir 2:4;Mishnah Nazir 3:2;Mishnah Nazir 3:2;Mishnah Nazir 4:7
nidah,False,Mishnah Makhshirin 4:6;Mishnah Tahorot 5:8
niddah,True,
niddot,True,
nikuf,True,
nisan,False,Mishnah Zevachim 1:3;Mishnah Zevachim 1:3;Mishnah Zevachim 14:3
nisuin,False,Mishnah Sanhedrin 11:6
nitsot,False,Mishnah Middot 1:1;Mishnah Middot 1:5;Mishnah Tamid 1:1
nitzot,False,Mishnah Tamid 1:1
noach,False,Mishnah Shabbat 12:3
notar,True,
nov,False,Mishnah Zevachim 14:7
nuz,False,Mishnah Kilayim 9:8
ohel,False,Mishnah Kelim 1:4
ohel moed,False,Mishnah Zevachim 14:1;Mishnah Zevachim 14:1
okhel nefesh,False,Mishnah Megillah 1:5;Mishnah Megillah 1:6
olah,True,
oleh veyored,False,Mishnah Keritot 1:2;Mishnah Keritot 2:3;Mishnah Keritot 2:4
oleh vyored,False,Mishnah Shevuot 1:2;Mishnah Shevuot 1:2;Mishnah Shevuot 2:1;Mishnah Shevuot 2:1;Mishnah Shevuot 3:7;Mishnah Shevuot 3:10;Mishnah Shevuot 4:2
olelet,True,
olelot,True,
olot,True,
omer,True,
onen,True,
orla,True,
orlah,True,
oto veet beno,False,Mishnah Chullin 5:1;Mishnah Chullin 5:3;Mishnah Chullin 5:3;Mishnah Chullin 5:3;Mishnah Chullin 5:5;Mishnah Chullin 5:5;Mishnah Chullin 5:5;Mishnah Chullin 6:3
parah,False,Mishnah Chullin 1:6
parah adumah,False,Mishnah Shekalim 4:2;Mishnah Shekalim 4:2;Mishnah Shekalim 4:2;Mishnah Shekalim 7:7;Mishnah Chullin 1:6;Mishnah Chullin 5:3
parat chatat,False,Mishnah Parah 2:1
parvah,False,Mishnah Middot 5:3;Mishnah Middot 5:3;Mishnah Middot 5:3
pasin,False,Mishnah Eruvin 2:1;Mishnah Eruvin 2:1;Mishnah Eruvin 2:2;Mishnah Eruvin 2:2;Mishnah Eruvin 2:2;Mishnah Eruvin 2:3;Mishnah Eruvin 2:3;Mishnah Eruvin 2:3;Mishnah Eruvin 2:3;Mishnah Eruvin 2:4;Mishnah Eruvin 2:4;Mishnah Eruvin 2:4
patuch,False,Mishnah Negaim 1:2
patukh,True,
paziyach,False,Mishnah Nedarim 1:2
