Book,Mishnah Chapter,Start Mishnah,End Mishnah,Start Daf,Start Line,End Daf,End Line
Beitzah,1,7,7,14a,6,14a,9
Beitzah,1,8,8,14b,11,14b,15
Beitzah,1,9,9,14b,26,14b,30
Beitzah,1,10,10,14b,41,14b,45
Beitzah,2,1,1,15b,1,15b,5
Beitzah,2,2,3,17b,40,17b,44
Beitzah,2,4,4,19a,26,19a,29
Beitzah,2,5,5,21b,35,21b,37
Beitzah,2,6,6,21b,44,21b,49
Beitzah,2,7,7,22b,34,22b,36
Beitzah,2,8,8,23a,32,23a,37
Beitzah,2,9,9,23b,1,23b,2
Beitzah,2,10,10,23b,5,23b,7
Beitzah,3,1,1,23b,22,24a,1
Beitzah,3,2,2,24a,57,24a,59
Beitzah,3,3,3,25a,34,25a,38
Beitzah,3,4,4,25b,55,26a,3
Beitzah,3,5,5,27b,16,27b,19
Beitzah,3,6,6,27b,38,27b,38
Beitzah,3,6,6,28a,1,28a,3
Beitzah,3,7,7,28a,40,28a,40
Beitzah,3,7,7,28b,58,28b,58
Beitzah,3,8,8,29a,6,29a,14
Beitzah,3,8,8,29b,20,29b,21
Beitzah,4,1,1,29b,35,30a,1
Beitzah,4,2,2,30b,1,30b,1
Beitzah,4,2,2,31a,1,31a,4
Beitzah,4,3,3,31a,31,31a,32
Beitzah,4,3,3,31b,24,31b,26
Beitzah,4,4,4,32a,20,32a,23
Beitzah,4,5,5,32b,30,32b,31
Beitzah,4,6,7,33a,29,33a,34
Beitzah,4,7,7,34a,37,34b,5
Beitzah,5,1,1,35b,19,35b,21
Beitzah,5,2,2,36b,27,36b,35
Beitzah,5,3,4,37a,44,37a,49
Beitzah,5,5,5,39a,14,39a,16
Beitzah,5,5,5,39a,45,39a,45
Beitzah,5,6,7,39b,21,40a,1
Beitzah,5,7,7,40a,50,40a,51
Rosh_Hashanah,1,1,1,2a,1,2a,7
Rosh_Hashanah,1,2,2,16a,1,16a,2
Rosh_Hashanah,1,3,3,18a,62,18a,64
Rosh_Hashanah,1,4,4,21b,1,21b,3
Rosh_Hashanah,1,5,6,21b,20,21b,23
Rosh_Hashanah,1,7,7,22a,5,22a,11
Rosh_Hashanah,1,8,8,22a,31,22a,34
Rosh_Hashanah,1,9,9,22a,38,22a,40
Rosh_Hashanah,2,1,1,22a,42,22a,43
Rosh_Hashanah,2,2,4,22b,47,22b,52
Rosh_Hashanah,2,5,5,23b,20,23b,24
Rosh_Hashanah,2,6,6,23b,32,23b,40
Rosh_Hashanah,2,7,7,24a,24,24a,26
Rosh_Hashanah,2,8,8,24a,52,24a,53
Rosh_Hashanah,2,8,9,24b,50,25a,22
Rosh_Hashanah,3,1,1,25b,17,25b,19
Rosh_Hashanah,3,2,2,26a,5,26a,7
Rosh_Hashanah,3,3,5,26b,28,26b,35
Rosh_Hashanah,3,6,7,27a,61,27b,4
Rosh_Hashanah,3,8,8,29a,18,29a,25
Rosh_Hashanah,4,1,2,29b,11,29b,18
Rosh_Hashanah,4,3,3,30a,47,30a,47
Rosh_Hashanah,4,4,4,30b,15,30b,17
Rosh_Hashanah,4,4,4,31b,7,31b,9
Rosh_Hashanah,4,5,5,32a,2,32a,8
Rosh_Hashanah,4,6,6,32a,55,32a,57
Rosh_Hashanah,4,6,6,32a,83,32a,85
Rosh_Hashanah,4,7,7,32b,59,32b,59
Rosh_Hashanah,4,8,8,32b,71,32b,74
Rosh_Hashanah,4,9,9,33b,13,33b,20
Taanit,1,1,2,2a,1,2a,15
Taanit,1,2,2,5a,10,5a,13
Taanit,1,3,3,10a,39,10a,41
Taanit,1,4,4,10a,64,10a,66
Taanit,1,5,7,12b,45,12b,51
Taanit,2,1,10,15a,10,15b,31
Taanit,3,1,9,18b,50,19a,48
Taanit,4,1,8,26a,6,26b,16
Megillah,1,1,2,2a,1,2a,9
Megillah,1,3,3,5a,16,5a,23
Megillah,1,4,4,6b,35,6b,36
Megillah,1,5,5,7b,53,7b,53
Megillah,1,6,6,8a,1,8a,1
Megillah,1,6,6,8a,7,8a,7
Megillah,1,7,7,8b,11,8b,12
Megillah,1,8,8,8b,34,8b,36
Megillah,1,9,9,9b,11,9b,12
Megillah,1,10,10,9b,37,9b,39
Megillah,1,11,11,9b,47,10a,2
Megillah,2,1,2,17a,30,17a,35
Megillah,2,3,3,19a,7,19a,13
Megillah,2,4,4,19b,16,19b,16
Megillah,2,4,4,20a,25,20a,26
Megillah,2,5,6,20b,12,20b,16
Megillah,4,1,2,21a,19,21a,32
Megillah,4,3,3,23b,12,23b,12
Megillah,4,4,4,23b,40,24a,5
Megillah,4,5,6,24a,26,24a,32
Megillah,4,7,7,24b,24,24b,26
Megillah,4,8,8,24b,58,24b,62
Megillah,4,9,9,24b,71,25a,3
Megillah,4,10,10,25a,46,25a,50
Megillah,3,1,1,25b,61,26a,2
Megillah,3,1,1,27b,3,27b,5
Megillah,3,2,2,27b,11,27b,16
Megillah,3,3,3,28a,72,28a,74
Megillah,3,4,4,29a,79,29a,80
Megillah,3,5,6,30b,24,31a,4
Moed_Katan,1,1,2,2a,1,2a,7
Moed_Katan,1,3,3,6b,10,6b,13
Moed_Katan,1,4,4,6b,32,6b,35
Moed_Katan,1,5,5,7a,35,7a,38
Moed_Katan,1,5,5,8a,31,8a,35
Moed_Katan,1,6,6,8b,4,8b,6
Moed_Katan,1,7,8,8b,32,8b,37
Moed_Katan,1,9,9,10a,47,10a,49
Moed_Katan,1,10,10,11a,10,11a,13
Moed_Katan,2,1,1,11b,1,11b,3
Moed_Katan,2,2,2,12a,40,12a,42
Moed_Katan,2,3,3,12b,66,12b,67
Moed_Katan,2,4,4,13a,18,13a,18
Moed_Katan,2,4,4,13a,44,13a,45
Moed_Katan,2,5,5,13b,10,13b,15
Moed_Katan,3,1,2,13b,56,14a,3
Moed_Katan,3,3,3,18b,10,18b,11
Moed_Katan,3,4,4,18b,70,19a,1
Moed_Katan,3,5,6,19a,23,19a,32
Moed_Katan,3,7,7,24b,44,24b,45
Moed_Katan,3,7,8,27a,65,27a,68
Moed_Katan,3,8,9,28b,1,28b,7
Chagigah,1,1,2,2a,1,2a,8
Chagigah,1,3,4,7b,6,7b,10
Chagigah,1,5,5,8b,8,8b,11
Chagigah,1,6,7,9a,5,9a,12
Chagigah,1,8,8,10a,10,10a,12
Chagigah,2,1,1,11b,8,11b,11
Chagigah,2,2,2,16a,62,16b,1
Chagigah,2,3,4,17a,2,17a,11
Chagigah,2,5,7,18b,1,18b,10
Chagigah,3,1,3,20b,15,21a,1
Chagigah,3,4,4,24b,31,25a,1
Chagigah,3,5,5,25b,53,25b,55
Chagigah,3,6,6,26a,22,26a,22
Chagigah,3,7,7,26a,48,26a,50
Chagigah,3,7,7,26a,72,26a,75
Chagigah,3,8,8,26a,78,26b,5
Yevamot,1,1,2,2a,1,2b,10
Yevamot,1,3,4,13a,34,13b,4
Yevamot,2,1,1,17a,43,17a,47
Yevamot,2,2,2,18b,24,18b,26
Yevamot,2,3,4,20a,14,20a,21
Yevamot,2,5,5,22a,36,22a,37
Yevamot,2,6,7,23b,1,23b,12
Yevamot,2,8,8,24a,13,24a,13
Yevamot,2,8,8,24b,3,24b,5
Yevamot,2,9,9,25a,36,25a,38
Yevamot,2,10,10,25b,24,25b,24
Yevamot,2,10,10,26a,2,26a,4
Yevamot,3,1,3,26a,26,26a,35
Yevamot,3,4,4,28b,38,28b,40
Yevamot,3,5,5,29a,8,29a,14
Yevamot,3,6,6,30a,1,30a,3
Yevamot,3,6,7,30a,17,30a,18
Yevamot,3,7,7,30a,32,30a,34
Yevamot,3,8,8,30b,10,30b,13
Yevamot,3,9,9,31b,29,31b,32
Yevamot,3,9,9,32a,11,32a,11
Yevamot,3,10,10,33b,27,33b,29
Yevamot,4,1,2,35b,1,35b,5
Yevamot,4,3,4,38a,17,38a,23
Yevamot,4,5,6,39a,40,39a,44
Yevamot,4,7,7,40a,25,40a,28
Yevamot,4,7,7,40a,69,40b,3
Yevamot,4,8,9,41a,2,41a,9
Yevamot,4,10,10,41a,41,41b,1
Yevamot,4,11,11,43b,43,44a,1
Yevamot,4,12,12,44a,38,44a,41
Yevamot,4,13,13,49a,1,49a,12
Yevamot,5,1,6,50a,16,50b,17
Yevamot,6,1,1,53b,22,53b,25
Yevamot,6,2,3,56b,32,56b,33
Yevamot,6,4,4,59a,16,59a,18
