citing_ref,non_segment_ref,num_segments,num_dicta_candidates,candidate_ref,citation_is_section_level,dicta_score,phrase_distance,candidate_text_words,confirm_method,confirmed
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,356,597,llm,no
"Torah Temimah on Torah, Exodus 2:2:3",Sotah 12a,23,2,Sotah 12a:18,True,15.0,28,17,high_score,yes
Rashi on Numbers 2:2:2,Joshua 3,17,1,Joshua 3:4,True,7.0,65,22,llm,yes
Sefer HaChinukh 52:3,Sanhedrin 79b,14,2,Sanhedrin 79b:13,True,2.2,2,44,llm,yes
Sefer HaChinukh 144:2,Pesachim 24a,16,1,Pesachim 24a:6,True,5.0,15,30,llm,yes
"Tzafnat Pa'neach on Mishneh Torah, Ritual Slaughter 12:10:1",Yevamot 78,41,1,Yevamot 78a:16,True,4.0,23,28,llm,no
"Tzafnat Pa'neach on Mishneh Torah, Ritual Slaughter 12:10:1",Chullin 74a,17,2,Chullin 74a:13,True,5.0,409,9,llm,yes
Sefer HaChinukh 144:2,Zevachim 29a,14,7,Zevachim 29a:8,True,9.0,10,36,high_score,yes
"Tzafnat Pa'neach on Mishneh Torah, Ritual Slaughter 12:10:1",Tosafot on Chullin 75a,4,3,Tosafot on Chullin 75a:15:1,False,5.0,272,166,llm,yes
"Reshit Chokhmah, Gate of Humility 2:31",Rosh Hashanah 17a,16,7,Rosh Hashanah 17a:4,True,16.0,2,40,high_score,yes
"Tzafnat Pa'neach on Mishneh Torah, Ritual Slaughter 12:10:1",Bava Kamma 47,32,1,Bava Kamma 47a:3,True,2.3,12,24,llm,yes
"Tzafnat Pa'neach on Mishneh Torah, Ritual Slaughter 12:10:1",Avodah Zarah 42b,19,1,Avodah Zarah 42b:10,True,5.0,1,28,llm,yes
"Torah Temimah on Torah, Leviticus 27:10:14",Temurah 7b,16,3,Temurah 7b:13,True,15.0,163,43,llm,yes
Sha'arei Torat Bavel on Beitzah 13a:1,Sanhedrin 61a,17,1,Sanhedrin 61a:4,True,5.0,3,34,llm,yes
Sha'arei Torat Bavel on Beitzah 13a:1,Gittin 28b,16,1,Gittin 28b:16,True,4.0,7,13,llm,yes
Rif Sanhedrin 8a:1,Sanhedrin 29b,22,8,Sanhedrin 29b:5,True,20.0,172,40,llm,yes
"Tzafnat Pa'neach on Mishneh Torah, Ritual Slaughter 12:10:1",Bava Kamma 78b,26,2,Bava Kamma 78b:23,True,4.0,248,43,llm,yes
Metzudat Zion on Isaiah 34:15:1,Deuteronomy 22,29,1,Deuteronomy 22:6,True,1.9,2,24,auto_approved,yes
Tosafot on Sukkah 39a:6:3,Kiddushin 55b,9,1,Kiddushin 55b:9,True,2.1,28,8,llm,no
Sha'arei Torat Bavel on Beitzah 13a:1,Nedarim 90a,8,1,Nedarim 90a:1,True,4.0,228,37,llm,yes
Melekhet Shelomoh on Mishnah Megillah 2:5:9,Leviticus 16:1-18:30,80,1,Leviticus 16:1,False,1.4,9,11,llm,no
Notes by Rabbi Yehoshua Hartman on Tiferet Yisrael 18:51,Berakhot 15b,30,2,Berakhot 15b:29,True,9.0,23,32,high_score,yes
"Teshuvot Meshiv Davar, Volume II 74:12",Nedarim 79a:11-91b:7,177,1,Nedarim 83b:4,False,4.0,8,18,llm,yes
"Maaseh Rokeach on Tefillin, Mezuzah and the Torah Scroll 4:14:1",Menachot 36,20,2,Menachot 36b:10,True,12.0,27,41,high_score,yes
"Rosh on Torah, Deuteronomy 33:24:1",Numbers 25:10-30:1,168,2,Numbers 26:64,False,1.4,51,13,llm,no
"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 61:16",Bava Metzia 39a,12,4,Bava Metzia 39a:1,True,6.0,2,17,llm,yes
Chiddushei HaRim on Bava Metzia 20a:23,Bava Metzia 28,46,1,Bava Metzia 28a:1,True,4.0,58,23,llm,no
"Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:11:1",Jerusalem Talmud Berakhot 3,82,3,Jerusalem Talmud Berakhot 3:3:11,False,23.0,1,62,high_score,yes
"Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 5:3:1",Zevachim 47a:12-57b:12,326,1,Zevachim 49a:8,False,2.2,2,13,llm,yes
"Introductions to Amoraic Literature, Part II (Notes and Interpretations for Chapters of the Talmud), Pesachim, Chapter I 57",Taanit 12a,12,1,Taanit 12a:10,True,6.0,40,35,llm,yes
Steinsaltz on Bava Batra 15a:2,Esther,167,3,Esther 2:23,False,1.3,67,13,llm,no
"Sha'ar HaMitzvot, Introduction 1:7",Song of Songs,117,1,Song of Songs 1:1,False,1.4,93,4,llm,no
Sefer HaChinukh 306:5,Menachot 66a,19,1,Menachot 66a:7,True,2.2,39,26,llm,yes
Rashi on Malachi 3:24:2,Mishnah Eduyot,74,1,Mishnah Eduyot 8:7,False,4.0,44,98,llm,yes
"Bach, Orach Chayim 3:3:1",Berakhot 61,45,1,Berakhot 61b:14,True,6.0,161,53,llm,yes
Ohr LaYesharim on Jerusalem Talmud Peah 7:5:13,Pesachim 37b,11,6,Pesachim 37b:11,True,14.0,13,19,high_score,yes
"Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:11:1",Berakhot 20,32,4,Berakhot 20b:12,True,4.0,1,23,llm,yes
Ohr LaYesharim on Jerusalem Talmud Peah 7:5:13,Sukkah 35b,15,3,Sukkah 35b:2,True,14.0,7,22,high_score,yes
"Marbeh Lesaper on Pesach Haggadah, Nirtzah, Echad Mi Yodea 1:12",Yoma 75,38,1,Yoma 75a:12,True,10.0,1,26,high_score,yes
"Bach, Yoreh De'ah 177:10:1",Teshuvot HaRivash,1573,8,Teshuvot HaRivash 335:3,False,9.0,524,1025,llm,yes
Ran on Shabbat 42b:18,Shabbat 117b,11,1,Shabbat 117b:3,True,5.0,35,57,llm,no
Ran on Shabbat 42b:18,Shabbat 117b,11,3,Shabbat 117b:3,True,19.0,43,57,high_score,yes
Minchat Chinukh 42:1:17,Temurah,1150,9,Temurah 30a:5,False,9.0,113,41,llm,yes
Ohr LaYesharim on Jerusalem Talmud Peah 7:5:13,Sukkah 35a,13,14,Sukkah 35a:12,True,14.0,1,70,high_score,yes
Ohr LaYesharim on Jerusalem Talmud Peah 7:5:13,Pesachim 38a,16,8,Pesachim 38a:6,True,13.0,19,20,high_score,yes
Ohr LaYesharim on Jerusalem Talmud Peah 7:5:13,Sanhedrin 112b,15,3,Sanhedrin 112b:12,True,33.0,97,39,llm,yes
"Maaseh Rokeach on Mishnah, Seder Moed, Taanit 35",Genesis 32:4-36:43,153,7,Genesis 36:43,False,4.0,28,15,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 44:207,Berakhot 29b,18,2,Berakhot 29b:14,True,15.0,44,29,high_score,yes
"Midrash Tanchuma, Lech Lecha 1:2",Exodus 12,51,2,Exodus 12:49,True,4.0,90,7,llm,yes
"Midrash Tanchuma, Lech Lecha 1:2",Isaiah 41,29,1,Isaiah 41:8,True,2.3,2,9,llm,yes
Bartenura on Mishnah Orlah 1:8:7,Leviticus 19,37,2,Leviticus 19:23,True,1.4,15,15,llm,yes
Etz Yosef on Shir HaShirim Rabbah 1:1:10:7,Song of Songs,117,2,Song of Songs 1:1,False,1.4,49,4,llm,no
"Migdal Oz on Mishneh Torah, Ownerless Property and Gifts 12:17:1",Chullin 44,28,2,Chullin 44b:12,True,2.4,10,40,llm,yes
Etz Yosef on Shir HaShirim Rabbah 1:1:10:7,Song of Songs,117,2,Song of Songs 1:1,False,1.4,21,4,llm,no
"Midrash Tanchuma, Lech Lecha 1:2",Genesis 26,35,1,Genesis 26:5,True,5.0,131,9,llm,yes
Ohr LaYesharim on Jerusalem Talmud Peah 7:5:13,Mishnah Maaser Sheni,57,2,Mishnah Maaser Sheni 3:10,False,4.0,230,54,llm,no
Ohr LaYesharim on Jerusalem Talmud Peah 7:5:13,Jerusalem Talmud Maaser Sheni,241,5,Jerusalem Talmud Maaser Sheni 5:2:21,False,7.0,252,31,llm,yes
"Midrash Tanchuma, Lech Lecha 1:2",Numbers 15,41,4,Numbers 15:16,True,2.0,37,10,llm,yes
Mishnat Eretz Yisrael on Mishnah Baba Kamma 10:1:17,Ketubot 67a,13,6,Ketubot 67a:9,True,15.0,176,26,llm,yes
Etz Yosef on Shir HaShirim Rabbah 1:1:10:7,Ecclesiastes,222,4,Ecclesiastes 1:12,False,1.6,7,6,llm,yes
"Shenei Luchot HaBerit, Aseret HaDibrot, Pesachim, Matzah Ashirah 6:91",Tikkunei Zohar,3364,2,Tikkunei Zohar 131b:3,False,9.0,79,90,llm,yes
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,5,Esther 9:24,False,4.0,302,15,llm,no
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,42,Esther 9:29,False,6.0,154,13,llm,no
Shoel uMeshiv Mahadura III 1:89:3,Rashi on Avodah Zarah 17,45,1,Rashi on Avodah Zarah 17a:8:1,False,7.0,4,25,llm,yes
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Megillah 7a,21,7,Megillah 7a:4,True,11.0,32,36,high_score,yes
"Notes and Corrections on Midrash Aggadah, Exodus 23:40",Sotah 36a,14,1,Sotah 36a:8,True,4.0,24,12,llm,no
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,7,Esther 9:24,False,4.0,80,15,llm,no
"Zohar, Pinchas 123:847",Joshua 1,18,1,Joshua 1:8,True,4.0,7,19,llm,yes
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Ruth Rabbah,81,30,Ruth Rabbah 4:5,False,67.0,58,431,high_score,yes
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,3,Esther 10:2,False,7.0,373,17,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 33:8,Rashi on Genesis 32:6,4,1,Rashi on Genesis 32:6:2,True,19.0,53,20,high_score,yes
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,6,Esther 9:32,False,8.0,290,9,llm,yes
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Megillah 7a,21,6,Megillah 7a:3,True,20.0,487,30,llm,yes
Meiri on Beitzah 18a:5,Chagigah 11a,16,1,Chagigah 11a:15,True,4.0,22,22,llm,yes
Ohr LaYesharim on Jerusalem Talmud Megillah 1:5:3,Esther,167,11,Esther 9:29,False,6.0,65,13,llm,no
Shoel uMeshiv Mahadura III 1:89:3,Avodah Zarah 17,31,2,Avodah Zarah 17a:15,True,6.0,1,40,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 65:130,Chagigah 12a,20,5,Chagigah 12a:17,True,4.0,233,64,llm,yes
Ramban on Genesis 25:34:1,Taanit 29,31,1,Taanit 29b:2,True,4.0,23,41,llm,yes
"Zohar, Addenda, Volume II 7:162",Psalms 139,24,1,Psalms 139:16,True,1.6,2,15,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Sukkah 30,13,1,Sukkah 30a:2,True,11.0,11,28,high_score,yes
"Yismach Moshe, Balak 10:1",Berakhot 16a,23,2,Berakhot 16a:1,True,2.3,13,31,llm,yes
"Torah Temimah on Torah, Leviticus 1:3:2",Bava Kamma 66b,17,1,Bava Kamma 66b:3,True,2.1,189,16,llm,yes
Bartenura on Mishnah Maasrot 1:2:3,Isaiah 5,30,2,Isaiah 5:2,True,2.2,2,15,llm,yes
The Third Beit HaMikdash 32:2,Menachot 93a,17,1,Menachot 93a:13,True,2.7,124,10,llm,yes
Chidushei Halachot on Rosh Hashanah 6a:1,Zevachim 15b:9-31b:13,508,4,Zevachim 29b:4,False,5.0,308,10,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Niddah 44,33,1,Niddah 44a:6,True,10.0,2,12,high_score,yes
"Torah Temimah on Torah, Leviticus 1:3:2",Gittin 55b,18,2,Gittin 55b:1,True,5.0,13,11,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Yevamot 61,31,1,Yevamot 61a:5,True,4.0,350,17,llm,yes
"Yein HaTov, Part II, Yoreh De'ah 3:11",Sefer HaChinukh,2662,175,Sefer HaChinukh 604:4,False,21.0,13,75,high_score,yes
"To Heal a Fractured World; The Ethics of Responsibility (Hebrew), Part 1; The Call to Responsibility, 6; Mending the World 25",Genesis,1533,6,Genesis 1:31,False,1.5,642,11,llm,no
"Beit Yosef, Even HaEzer 1:19:1",Jerusalem Talmud Yevamot 2,47,3,Jerusalem Talmud Yevamot 2:6:2,False,10.0,26,48,high_score,yes
"Malbim on Leviticus, Vayikra 10:1",Chullin 5,25,1,Chullin 5a:10,True,2.6,27,41,llm,yes
"Torah Temimah on Torah, Deuteronomy 16:7:2",Pesachim 8b,17,4,Pesachim 8b:8,True,9.0,388,38,llm,yes
"Kovetz Al Yad HaChazakah on Mishneh Torah, Reading the Shema 1:4:1",Pesachim,3519,1,Pesachim 56a:9,False,9.0,53,20,high_score,yes
"Malbim on Leviticus, Vayikra 10:1",Sotah 22,21,3,Sotah 22a:5,True,12.0,8,26,high_score,yes
"Malbim on Leviticus, Vayikra 10:1",Sanhedrin 70,39,2,Sanhedrin 70b:6,True,6.0,2,36,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Berakhot 31,55,1,Berakhot 31a:15,True,4.0,7,54,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Sanhedrin 57,47,4,Sanhedrin 57b:5,True,4.0,15,28,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Isaiah 43,28,1,Isaiah 43:4,True,2.3,2,12,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Genesis 6,22,2,Genesis 6:7,True,4.0,2,17,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Bereshit Rabbah 24,7,3,Bereshit Rabbah 24:7,True,4.0,2,125,llm,yes
Chiddushei HaRadal on Kohelet Rabbah 12:10:1:1,Midrash Tehillim 9,21,3,Midrash Tehillim 9:2,True,14.0,41,472,high_score,yes
"Malbim on Leviticus, Vayikra 10:1",Gittin 38b,16,1,Gittin 38b:12,True,5.0,6,18,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Sanhedrin 59,43,2,Sanhedrin 59a:4,True,6.0,35,37,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Bava Kamma 4b,16,1,Bava Kamma 4b:3,True,4.0,2,29,llm,yes
"Zohar, Bamidbar 6:57",Psalms 150,6,1,Psalms 150:1,True,6.0,2,7,llm,yes
"Malbim on Leviticus, Vayikra 10:1",Chullin 5,25,10,Chullin 5a:10,True,14.0,13,41,high_score,yes
Ohr Yisrael 27:12,Avodah Zarah 19,35,2,Avodah Zarah 19b:4,True,10.0,10,31,high_score,yes
Ohr Yisrael 27:12,Sanhedrin 7,38,1,Sanhedrin 7a:19,True,14.0,25,22,high_score,yes
"Mishpetei Uziel, Volume VI, Addenda 6:21",Bava Kamma 61a,16,1,Bava Kamma 61a:15,True,8.0,118,22,llm,yes
Rosh on Avodah Zarah 2:14:1,Avodah Zarah 69b,12,1,Avodah Zarah 69b:11,True,2.1,257,29,llm,yes
"Malbim on Leviticus, Achrei Mot 115:1",Chullin 85,37,3,Chullin 85a:19,True,14.0,362,32,llm,yes
Chidushei Halachot on Gittin 62a:1,Tosafot on Chullin 2a:1-26b:19,236,1,Tosafot on Chullin 6b:2:1,True,12.0,1,281,high_score,yes
"Beur HaGra on Shulchan Arukh, Choshen Mishpat 235:65",Bava Batra 138a,11,1,Bava Batra 138a:1,True,2.3,28,8,llm,yes
"HaMiddot leCheker haHalakhah, Part II, Method XIII 54:5",Bava Batra 100a,11,1,Bava Batra 100a:7,True,2.6,27,32,llm,yes
Tosafot on Yevamot 96b:5:1,Sanhedrin 76b,17,2,Sanhedrin 76b:3,True,8.0,60,32,high_score,yes
"Bach, Orach Chayim 252:12:1",Shabbat 92,21,1,Shabbat 92a:5,True,9.0,2,40,high_score,yes
Rosh on Avodah Zarah 2:14:1,Shabbat 122a,11,1,Shabbat 122a:3,True,23.0,123,31,llm,yes
Yein Levanon on Avot 6:8:5,Nedarim 30b,13,1,Nedarim 30b:12,True,6.0,45,33,llm,yes
Talmud Series; Shemitah 6:27,Avodah Zarah 20a,12,6,Avodah Zarah 20a:4,True,14.0,2,30,high_score,yes
Sichot HaRan 87:8,Ecclesiastes 8,17,1,Ecclesiastes 8:1,True,4.0,3,13,llm,yes
Rif Yevamot 28b:3,Yevamot 89b,14,1,Yevamot 89b:11,True,21.0,2,26,high_score,yes
Rosh on Avodah Zarah 2:14:1,Chullin 95b,20,2,Chullin 95b:4,True,6.0,47,26,llm,yes
Sichot HaRan 87:8,Genesis 2,25,1,Genesis 2:21,True,2.3,34,11,llm,yes
Rosh on Avodah Zarah 2:14:1,Beitzah 28a,20,2,Beitzah 28a:5,True,7.0,2,17,llm,yes
Notes by Rabbi Yehoshua Hartman on Derush al HaTorah 28:110,Moed Katan 28a,24,4,Moed Katan 28a:22,True,13.0,71,40,llm,yes
Rosh on Avodah Zarah 2:14:1,Bava Metzia 23b,11,2,Bava Metzia 23b:4,True,7.0,11,24,llm,yes
Rosh on Avodah Zarah 2:14:1,Avodah Zarah 69b,12,2,Avodah Zarah 69b:11,True,16.0,653,29,llm,yes
"Prisha, Yoreh De'ah 256:6:1",Rosh on Bava Batra 1,56,2,Rosh on Bava Batra 1:30:1,False,7.0,60,106,llm,yes
"Beit Yosef, Yoreh De'ah 247:3:1",Sukkah 49b,14,4,Sukkah 49b:9,True,8.0,79,46,llm,yes
Machshavot Charutz 19:19,Berakhot 32a,33,1,Berakhot 32a:12,True,4.0,7,41,llm,yes
Machshavot Charutz 19:19,Job 1,22,2,Job 1:5,True,6.0,8,28,llm,yes
"Bach, Orach Chayim 252:12:1",Shabbat 61,29,4,Shabbat 61a:13,True,4.0,562,40,llm,yes
Machshavot Charutz 19:19,Yoma 76b,12,2,Yoma 76b:7,True,3.0,36,38,llm,yes
Maaseh Rokeach on Appraisals and Devoted Property 1:10:1,Arakhin 24,30,1,Arakhin 24a:10,True,10.0,74,20,llm,yes
Maaseh Rokeach on Sabbath 25:6:2,Eruvin 102,39,2,Eruvin 102a:12,True,6.0,16,19,llm,yes
"Torah Temimah on Torah, Leviticus 5:15:5",Temurah 3a,19,6,Temurah 3a:4,True,16.0,319,19,llm,yes
"Torah Temimah on Torah, Leviticus 5:15:5",Exodus 25:1-27:19,96,3,Exodus 25:2,False,4.0,243,12,llm,no
"Torah Temimah on Torah, Leviticus 25:29:3",Megillah 3b,17,5,Megillah 3b:13,True,4.0,6,29,llm,yes
Sirilio on Jerusalem Talmud Terumot 3:3:9:4,Jerusalem Talmud Bikkurim 3:1:1-6:4,44,1,Jerusalem Talmud Bikkurim 3:3:1,False,7.0,51,58,llm,yes
Sirilio on Jerusalem Talmud Terumot 3:3:9:4,Chullin 117b:6-129b:18,526,1,Chullin 120b:7,False,7.0,15,21,llm,yes
Rosh on Yevamot 3:10:1,Yevamot 42a,27,1,Yevamot 42a:7,True,2.3,137,13,llm,no
"Torah Temimah on Torah, Exodus 23:25:2",Eruvin 65a,21,5,Eruvin 65a:21,True,33.0,309,41,llm,yes
"Ma'asai LaMelekh on Mishneh Torah, Sacrificial Procedure 6:19:1",Sukkah 52,30,2,Sukkah 52b:15,True,6.0,1,42,llm,yes
B'Mareh HaBazak Volume VII 95:8,Niddah 66a,26,1,Niddah 66a:25,True,4.0,10,19,llm,yes
Tosefta Kifshutah on Bava Metzia 2:1:3,Bava Metzia 24b,12,1,Bava Metzia 24b:1,True,2.1,160,19,llm,no
Or HaChaim on Deuteronomy 21:11:13,Avodah Zarah 22b,12,1,Avodah Zarah 22b:11,True,7.0,4,48,llm,yes
Rosh on Yevamot 3:10:1,Yevamot 42b,11,4,Yevamot 42b:6,True,6.0,74,32,llm,yes
Ramban on Numbers 9:10:1,Pesachim 92,28,3,Pesachim 92b:5,True,10.0,2,41,high_score,yes
"Kaf HaChayim on Shulchan Arukh, Orach Chayim 191:1:1",Tosafot on Berakhot 16a,7,1,Tosafot on Berakhot 16a:18:1,False,13.0,1,20,high_score,yes
Ramban on Numbers 9:10:1,Pesachim 93,30,11,Pesachim 93b:12,True,5.0,158,15,llm,yes
"Seder HaDorot, Tanaim and Amoraim 688:1",Jerusalem Talmud Berakhot,655,1,Jerusalem Talmud Berakhot 5:2:10,False,5.0,139,85,llm,no
"Seder HaDorot, Tanaim and Amoraim 688:1",Eruvin 23b,17,1,Eruvin 23b:10,True,4.0,7,26,llm,yes
Rosh on Yevamot 3:10:1,Yevamot 41a,20,2,Yevamot 41a:1,True,4.0,201,18,llm,no
Notes by Rabbi Yehoshua Hartman on Derush al HaTorah 28:110,Ketubot 77b,14,4,Ketubot 77b:10,True,6.0,244,68,llm,yes
"HaKtav VeHaKabalah, Numbers 18:28:1",Berakhot 47,37,1,Berakhot 47a:15,True,5.0,47,56,llm,yes
"Zohar, Lech Lecha 35:466",Jeremiah 2,37,3,Jeremiah 2:21,True,6.0,14,12,llm,yes
Ramban on Numbers 9:10:1,Pesachim 93,30,11,Pesachim 93a:3,True,4.0,2,21,llm,yes
Etz Yosef on Bamidbar Rabbah 11:7:53,Tosafot on Eruvin,906,1,Tosafot on Eruvin 14b:9:1,False,16.0,2,22,high_score,yes
"Responsa Chatam Sofer, Even HaEzer 2:128:4",Shevuot 48b,19,8,Shevuot 48b:6,True,14.0,45,29,high_score,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 36:69,Gevurot Hashem 60,60,3,Gevurot Hashem 60:7,True,56.0,3,138,high_score,yes
Tosafot on Menachot 56b:8:1,Sukkah 27b,14,1,Sukkah 27b:5,True,10.0,6,37,high_score,yes
"Keli Chemdah on Torah, Yitro 4:2",Pesachim 102b,8,6,Pesachim 102b:3,True,12.0,56,36,high_score,yes
"HaKtav VeHaKabalah, Numbers 30:14:2",Nedarim 79,18,1,Nedarim 79a:3,True,4.0,7,18,llm,yes
Shita Mekubetzet on Bava Batra 34b:6,Gittin 2a:1-15a:7,382,1,Gittin 14a:5,False,4.0,62,19,llm,no
"Responsa Chatam Sofer, Choshen Mishpat 11:3",Bava Metzia 35a,15,2,Bava Metzia 35a:12,True,2.4,545,27,llm,yes
"HaKtav VeHaKabalah, Numbers 30:14:2",Nedarim 72,18,3,Nedarim 72b:8,True,4.0,35,29,llm,yes
"Notes by Rabbi Yehoshua Hartman on Be'er HaGolah, Well 2 4:47",Shevuot 15b,17,2,Shevuot 15b:9,True,2.9,1,17,llm,yes
"Divrei David on Rashi, Deuteronomy 4:2:1",Bava Metzia 115,24,5,Bava Metzia 115a:12,True,4.0,13,41,llm,yes
"Tiferet Shlomo, on Festivals, Shaar Tefillah 31",Menachot 90,34,3,Menachot 90a:5,True,5.0,90,27,llm,yes
Lechem Shamayim on Mishnah Sanhedrin 10:2:2,Tractate Semachot,230,1,Tractate Semachot 8:13,False,5.0,444,253,llm,no
"HaMiddot leCheker haHalakhah, Part I, Method X 39:1",Kiddushin 23a,16,2,Kiddushin 23a:10,True,12.0,16,14,high_score,yes
"Sefer HaTerumah, Psakim 211:2",Yoma 19b,16,3,Yoma 19b:12,True,4.0,64,20,llm,yes
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Yevamot 48,28,4,Yevamot 48a:9,True,13.0,56,16,high_score,yes
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Kiddushin 66,34,1,Kiddushin 66b:16,True,2.4,1,45,llm,yes
Tosafot on Menachot 56b:8:1,Pesachim 43b,15,4,Pesachim 43b:10,True,7.0,107,40,llm,yes
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Avodah Zarah 36,31,2,Avodah Zarah 36b:10,True,4.0,48,18,llm,yes
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Chullin 33,32,1,Chullin 33a:9,True,2.1,439,22,llm,no
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Chullin 27a:1-42a:2,454,1,Chullin 33a:9,False,2.1,427,22,llm,no
Tosafot on Menachot 56b:8:1,Pesachim 43b,15,5,Pesachim 43b:10,True,7.0,425,40,llm,yes
"Sefer HeArukh, Letter Peh 499",Bava Metzia 60,35,4,Bava Metzia 60b:5,True,13.0,59,25,high_score,yes
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Kiddushin 21,42,5,Kiddushin 21b:21,True,7.0,2,26,llm,yes
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Kiddushin 21,42,5,Kiddushin 21b:21,True,7.0,7,26,llm,yes
"Arukh HaShulchan HeAtid, Laws of Zeraim 15:6",Arakhin 32b,18,2,Arakhin 32b:18,True,4.0,13,9,llm,no
"Sefer Mitzvot Gadol, Positive Commandments 122:1",Sanhedrin 57,47,12,Sanhedrin 57a:14,True,5.0,6,29,llm,no
"Mareh Yechezkel on Torah, Chukat 15",Berakhot 34b,32,1,Berakhot 34b:22,True,6.0,25,24,llm,yes
Shoel uMeshiv Mahadura III 1:102:2,Ketubot 77,32,2,Ketubot 77a:14,True,9.0,11,29,high_score,yes
"Mishpetei Uziel, Volume II, Yoreh De'ah 25:14",Daniel,357,2,Daniel 10:3,False,8.0,1,15,high_score,yes
"Mishpetei Uziel, Volume II, Yoreh De'ah 25:14",Yoma 76,27,4,Yoma 76b:10,True,11.0,2,27,high_score,yes
"Dover Tzedek, Kuntres Dover Tzedek, Eruvin 1:2",Megillah 29a,20,1,Megillah 29a:4,True,5.0,17,69,llm,yes
"Dover Tzedek, Kuntres Dover Tzedek, Eruvin 1:2",Sanhedrin 46a,17,1,Sanhedrin 46a:15,True,2.5,15,29,llm,yes
"Mishpetei Uziel, Volume II, Yoreh De'ah 25:14",Berakhot 43b,20,6,Berakhot 43b:13,True,25.0,2,44,high_score,yes
"Dover Tzedek, Kuntres Dover Tzedek, Eruvin 1:2",Yoma 57a,15,1,Yoma 57a:1,True,4.0,9,26,llm,yes
"Dover Tzedek, Kuntres Dover Tzedek, Eruvin 1:2",Berakhot 32a,33,1,Berakhot 32a:28,True,4.0,9,55,llm,yes
"Torah Temimah on Torah, Leviticus 18:14:1",Sanhedrin 28b,28,2,Sanhedrin 28b:3,True,24.0,192,32,llm,yes
"Mishpetei Uziel, Volume VI, Yoreh De'ah 76:15",Gittin 6b,17,1,Gittin 6b:9,True,7.0,2,15,llm,yes
"Mishpetei Uziel, Volume VI, Yoreh De'ah 76:15",Yevamot 106b,14,8,Yevamot 106b:10,True,19.0,3,19,high_score,yes
"Rosh David, Achrei Mot 34",Nedarim 20b,14,2,Nedarim 20b:7,True,7.0,2,24,llm,yes
"Mareh Yechezkel on Torah, Miketz 18",Berakhot 6b,37,2,Berakhot 6b:26,True,7.0,8,31,llm,no
Steinsaltz on Sanhedrin 85b:19,Sanhedrin 40a:1-42a:20,96,1,Sanhedrin 42a:10,False,4.0,116,25,llm,no
Tiferet Yisrael 54:1,Makkot 23b,18,1,Makkot 23b:18,True,6.0,20,40,llm,yes
Rav Peninim on Proverbs 8:6:1,Exodus 21:1-24:18,118,1,Exodus 21:2,False,1.4,530,11,llm,no
Teshuvot HaRivash 11:4,Gittin 3a,16,4,Gittin 3a:6,True,9.0,14,33,high_score,yes
"Agra DeKala, Chayei Sara 41",Temurah 16a,24,1,Temurah 16a:11,True,4.0,2,42,llm,yes
Bartenura on Mishnah Makhshirin 4:1:3,Deuteronomy 32,52,1,Deuteronomy 32:6,True,3.0,2,17,llm,yes
"Commentary on Sefer Hamitzvot of Rasag, Communal Laws 34:19",Sanhedrin 45b,25,2,Sanhedrin 45b:20,True,4.0,12,16,llm,yes
Mishnat Eretz Yisrael on Mishnah Shabbat 6:6:6,Shabbat 65a,17,1,Shabbat 65a:12,True,4.0,8,36,llm,no
